Dataset,Class,Method,DTW,ShapeDTW,SoftDTW,KDTW,MSM,SBD
Cricket,1.0,Shape-DBA,31.03344062585404,1089.4575597957776,-582.0674260572052,0.0,2269.211143285216,0.1742706302812103
Cricket,1.0,Soft-DBA,101.601286929791,10913.226510607848,9617.332264641476,0.0,5529.869000892342,0.7930740848452011
Cricket,1.0,TEKA,103.33485412084792,11338.00874440302,10003.264315569577,0.0,5565.262999768293,0.7903138201546615
Cricket,10.0,DBA,108.10055563178294,11982.20006632221,11117.615127798454,0.0,5909.727074306303,0.8132536449197265
Cricket,10.0,Shape-DBA,13.8578464601176,239.55114529654804,-1656.9888195597596,2.020347761154732e-98,1349.2702278496204,0.0570883638614975
Cricket,10.0,Soft-DBA,112.1174896972727,12934.403758748696,12039.853899098372,0.0,5991.751305075864,0.821062776375901
Cricket,10.0,TEKA,111.6142011040046,12827.226878657417,11926.600007560208,0.0,5963.765627256809,0.8217612027411023
Cricket,11.0,DBA,98.83098266101808,10438.20540716232,9346.406213904547,0.0,5992.530974758439,0.7804501598437904
Cricket,11.0,Shape-DBA,19.98131397976163,458.237660942951,-1353.906969480981,1.2063244649513928e-197,2052.2494465378813,0.1259014590075254
Cricket,11.0,Soft-DBA,103.81219421207796,11692.786254883827,10402.723391028116,0.0,6126.68091235689,0.7837660694440235
Cricket,11.0,TEKA,104.48891611112516,11871.501232612563,10561.154783708278,0.0,6135.164376416328,0.7864983870310432
Cricket,12.0,DBA,99.73627011890925,10689.63185955802,9465.51805825536,0.0,5680.544258583937,0.7763388346869334
Cricket,12.0,Shape-DBA,24.891220899514813,737.3925711243471,-1018.8432539665488,3.4054576576669053e-261,2044.3877374328467,0.1413427259314817
Cricket,12.0,Soft-DBA,104.95159153476908,11860.724660404858,10553.912327368393,0.0,5800.512250325103,0.7861845692932463
Cricket,12.0,TEKA,105.88175682410098,12050.8271351088,10756.900751805597,0.0,5783.939728433538,0.7914223209942777
Cricket,2.0,DBA,93.03720995801685,10153.218679516309,7738.48837891511,0.0,5106.547134796657,0.7831979973583221
Cricket,2.0,Shape-DBA,37.42984396709285,1525.0940720860983,-65.96063027576771,0.0,2270.0632745276425,0.1753510425290271
Cricket,2.0,Soft-DBA,96.5340206157294,10868.424363282791,8419.861683075289,0.0,5152.018899375255,0.7833681363642614
Cricket,2.0,TEKA,103.77124683147431,11978.77092744328,10007.306647980246,0.0,5443.691527119144,0.7859961100814189
